	audio_dropout	language_dropout	video_dropout	acc	mae	f_score
0	0	0	0	0.717201166180758	1.057654497576225	0.3225
1	0.15	0	0.15	0.7186588921282799	1.098505160044525	0.30137
2	0.4	0	0.4	0.706997084548105	1.1028412828458865	0.29741
3	0.6	0	0.6	0.7201166180758017	1.0550151874245297	0.31346
4	0.8	0	0.8	0.7128279883381924	1.0777161994208535	0.32491
5	0.9	0	0.9	0.6967930029154519	1.067563519745592	0.28111
6	0.95	0	0.95	0.7186588921282799	1.0712071921824637	0.33771
7	N/A	N/A	N/A	0.7317784256559767	0.989325459839791	0.36211
