	audio_dropout	language_dropout	video_dropout	acc	mae	f_score
0	0	0	0	0.7201166180758017	1.0557692159633294	0.28498
1	0.15	0	0.15	0.7215743440233237	1.0508407206005763	0.30254
2	0.4	0	0.4	0.7128279883381924	1.0349973027817845	0.33705
3	0.6	0	0.6	0.7215743440233237	1.0749057652991518	0.34733
4	0.8	0	0.8	0.7274052478134111	1.0592374975258165	0.30995
5	0.9	0	0.9	0.7346938775510204	1.0242460516570047	0.31784
6	0.95	0	0.95	0.7142857142857143	1.035319700276331	0.32424
7	N/A	N/A	N/A	0.7142857142857143	1.090606115840962	0.30342
