	audio_dropout	language_dropout	video_dropout	acc	mae	f_score
0	0	0	0	0.7303206997084548	1.013841638449069	0.3398
1	0.15	0	0.15	0.7244897959183674	1.0497642974098513	0.3439
2	0.4	0	0.4	0.7303206997084548	1.0385410088260167	0.33275
3	0.6	0	0.6	0.7332361516034985	1.0207213129920454	0.35052
4	0.8	0	0.8	0.7346938775510204	1.0619028696976882	0.31714
5	0.9	0	0.9	0.7405247813411079	1.0135483269856111	0.32938
6	0.95	0	0.95	0.7040816326530612	1.0776772481453412	0.30732
7	N/A	N/A	N/A	0.7303206997084548	1.0741601046373785	0.29448
