	audio_dropout	language_dropout	video_dropout	acc	mae	f_score
0	0	0	0	0.7317784256559767	1.0477669368368505	0.32208
1	0.15	0	0.15	0.7448979591836735	1.0478766243481255	0.33397
2	0.4	0	0.4	0.7419825072886297	1.0297399358614823	0.33182
3	0.6	0	0.6	0.7376093294460642	1.0277394436183853	0.3386
4	0.8	0	0.8	0.717201166180758	1.0682065824128186	0.31469
5	0.9	0	0.9	0.7288629737609329	1.0178167978191128	0.3358
6	0.95	0	0.95	0.7186588921282799	1.1049881485641002	0.3198
7	N/A	N/A	N/A	0.7055393586005831	1.0995022605568612	0.30537
