	audio_dropout	language_dropout	video_dropout	acc	loss	f_score
0	0	0	0	0.2779069767441861	tensor(1.8089)	0.39906
1	0.15	0	0.15	0.35	tensor(1.6973)	0.41029
2	0.4	0	0.4	0.3930232558139535	tensor(1.6012)	0.42058
3	0.6	0	0.6	0.45232558139534884	tensor(1.5290)	0.48074
4	0.8	0	0.8	0.45930232558139533	tensor(1.4822)	0.46842
5	0.9	0	0.9	0.4569767441860465	tensor(1.4791)	0.4688
6	0.95	0	0.95	0.4476744186046512	tensor(1.4807)	0.45934
7	N/A	N/A	N/A	0.45232558139534884	tensor(1.4918)	0.46336
