	audio_dropout	language_dropout	video_dropout	acc	loss	f_score
0	0	0	0	0.2651162790697674	tensor(1.8166)	0.36575
1	0.15	0	0.15	0.3883720930232558	tensor(1.6517)	0.45539
2	0.4	0	0.4	0.42674418604651165	tensor(1.5644)	0.45995
3	0.6	0	0.6	0.4383720930232558	tensor(1.5538)	0.45658
4	0.8	0	0.8	0.4627906976744186	tensor(1.4783)	0.48502
5	0.9	0	0.9	0.4441860465116279	tensor(1.4859)	0.46234
6	0.95	0	0.95	0.45348837209302323	tensor(1.4933)	0.46513
7	N/A	N/A	N/A	0.44534883720930235	tensor(1.5070)	0.45143
